Title,Authors,Genre,Price,Rating,Description,Image
Bibliography of the History of Medicine,,Medicine,,,,http://books.google.com/books/content?id=yy0bAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
How to Teach General Science,Joseph Otto Frank,Science,,,,http://books.google.com/books/content?id=hIs-rKNyoLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Macmillan's Magazine,,English periodicals,,,,http://books.google.com/books/content?id=Rbqhkz7jrl8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
National Library of Medicine Audiovisuals Catalog,National Library of Medicine (U.S.),Health education,,,,http://books.google.com/books/content?id=Nk3AhMXurZIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Political Science,,Electronic journals,,,,http://books.google.com/books/content?id=mefi4wg3P40C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Science News-letter,,Electronic journals,,,,http://books.google.com/books/content?id=uowoAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Transactions of the Kansas Academy of Science,Kansas Academy of Science,Electronic journals,,,,http://books.google.com/books/content?id=LKjRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Program,Bryn Mawr College,,,,,http://books.google.com/books/content?id=b8VLAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Boston Studies in the Philosophy of Science,,Science,,,,http://books.google.com/books/content?id=_p5pFGZm2f8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Limitations of Science,Louis Trenchard More,Science,,,,http://books.google.com/books/content?id=p-5LAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Annual Report of the Office of Science and Technology,Minnesota. Office of Science and Technology,Technology and state,,,,http://books.google.com/books/content?id=d6nWpaDeO0sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Publishers' Weekly,,,,,,http://books.google.com/books/content?id=h23ois1bIJMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of Armenia,Vahan M. Kurkjian,Art,,,"The volume is an easy reading and a must for the beginner student and interested party of the history of Armenia as well as for those more familiar with Armenian and its history. The author, an expert on Armenian history, has masterfully covered all aspects of the Armenian history such as Armenian literature, Armenian Church, the history of Armenian old and modern language, architecture, sculpture, music etc. along with all the historical events, starting from the beginning of the human civilization and that of Armenian one to the modern era of Armenia.",http://books.google.com/books/content?id=WYFjuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Created Equal,"Jacqueline A. Jones, Peter H. Wood, Thomas Borstelmann, Vicki L. Ruiz, Elaine Tyler May",History,,,"ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products. Packages Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase. Used or rental books If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code. Access codes Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase. -- Re-examines American History through the theme of contested equality Taking an inclusive view of American history, Created Equal emphasizes the struggles for equality experienced by diverse groups of Americans across the many regions of the nation. With a steadfast chronological framework, and a strong narrative thread, the authors offer a fresh and critical perspective on the traditional story. MyHistoryLab is an integral part of the Jones program. Key learning applications include assessment, MyHistoryLab Video Series, and History Explorer. A better teaching and learning experience This program will provide a better teaching and learning experience-for you and your students. Here's how: Personalize Learning -- MyHistoryLab is an online homework, tutorial, and assessment program. It helps students prepare for class and instructor gauge individual and class performance. Emphasize Outcomes -- Learning Objective Questions at the beginning of each chapter and a chapter review and thematic timeline ending each chapter keep students focused on what they need to know. On MyHistoryLab, practice tests help students achieve these objectives by measuring progress and creating personalized study plans. Engage Students -- A new pedagogically-driven design highlights a clear learning path through the material and offers a visually stunning learning experience in print or on a screen. With the Pearson eText, students can transition directly to MyHistoryLab resources such as primary source documents, videos, and mapping exercises. Improve Critical Thinking -- Powerful learning applications in MyHistoryLab-including Explorer mapping exercises, Closer Look analyses of sources and topics, and Writing Assessments tied to engaging videos-promote critical thinking. Support Instructors -- MyHistoryLab, Instructor's eText, MyHistoryLab Instructor's Guide, Class Preparation Tool, Instructor's Manual, MyTest, and PowerPoints are available. 0205950345 / 9780205950348 Created Equal: A History of the United States, Combined Volume Plus New MyHistoryLab with eText -- Access Card Package, 4/e Package consists of: 0205206549 / 9780205206544 NEW MyHistoryLab with Pearson eText -- Valuepack Access Card 0205901301 / 9780205901302 Created Equal: A History of the United States, Combined Volume",http://books.google.com/books/content?id=44cwnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"A History of International Monetary Diplomacy, 1867 to the Present",Giulio M. Gallarotti,Business & Economics,51.35 EUR,,"This book is about how the rise of democracy has transformed economics over the past 150 years. As voting was expanded to the masses in the late 19th century, political leaders faced emergent pressures to deliver prosperity to their newly enfranchised populations. This led to the rise of the guardian state: a state whose prime directive was to protect economic growth and employment. Domestic economic goals now became sacrosanct, and if that meant a failure on the international stage to construct solutions to problems in monetary relations, so be it. The book traces the history of international monetary diplomacy during this long period to show how the guardian state has manifested itself, and how it has shaped the course of international monetary relations. Each of the most important international monetary conferences in history is scrutinized with respect to how nations sought to protect the prosperity within their national economies. The historical narratives give a bird’s-eye view into how domestic political priorities have intruded on and shaped economic relations among nations. The book clearly demonstrates the advantages of an interdisciplinary understanding of how politics shapes economics. It will be invaluable reading for scholars and students of international economics, politics and economic history.",http://books.google.com/books/content?id=5gwxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The French Revolution,Thomas Carlyle,France,,,,
A History of Brazil,,,,,,
Economic and Social History of the World War,,Archives,,,,
Schoolbook Nation,Joseph Moreau,Education,,,An unbiased examination of the century-and-a-half-long culture wars fought in the pages of our country's history texts,http://books.google.com/books/content?id=Q351AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Quick History of the Mayan Civilization - History for Kids | Children's History Books,Baby Professor,Art,3.33 EUR,,"Looking back and learning about the ancient times can get boring. Dates, people, facts and events can get overwhelming especially to young children. But historical facts are important in shaping the future. That is why we took the initiative of creating powerful learning materials that are able to attract and keep learners’ attention. Take a look at this book today!",http://books.google.com/books/content?id=KA9CDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Studies in World History Volume 3 (Teacher Guide),James P. Stobaugh,History,,,"Teacher guides include insights, helps, and weekly exams, as well as answer keys to easily grade course materials! Help make your educational program better - use a convenient teacher guide to have tests, answer keys, and concepts! An essential addition for your coursework - team your student book with his convenient teacher guide filled with testing materials, chapter helps, and essential ways to extend the learning program.",http://books.google.com/books/content?id=uFx2AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of Pergamum,Richard Evans,History,,,The first monograph in English to focus on Pergamum in this period.,http://books.google.com/books/content?id=wBmyxTIV1eMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Another Freedom,Svetlana Boym,History,,,"By offering a fresh look at the strange history of this idea, Another Freedom delivers a nuanced portrait of freedom's unpredictable occurrences and unexplored plots, one whose repercussions will be felt well into the future. --Book Jacket.",http://books.google.com/books/content?id=Rvlcf4JsrYsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
History of the Balkans:,Barbara Jelavich,History,,,"This volume concentrates on the Balkan wars and World War II, which both had their origins in the desire of nationalist circles to complete the territorial unification of their states. A substantial part of this book deals with the wartime experience, the establishment of the postwar regimes and their internal development to 1980 and the divergent paths followed by the five states (Bulgaria, Greece, Montenegro, Romania and Serbia) since 1945.",
A History of Modern Librarianship,"Pamela Spence Richards, Wayne A. Wiegand, Marija Dalbello",Language Arts & Disciplines,59.17 EUR,,"A broad, comparative history of librarianship, this intriguing work goes beyond the standard focus on institutions and collections to help you explore the part modern librarianship played—and continues to play—in forming Western cultures. Previous histories of libraries in the Western world—the last of which was published nearly 20 years ago—concentrate on libraries and librarians. This book takes a different approach. It focuses on the practice of librarianship, showing you how that practice has contributed to constructing the heritage of cultures. To do so, this groundbreaking collection of essays presents the history of modern librarianship in the context of recent developments of the library institution, professionalization of librarianship, and innovation through information technology. Organized by region, the book addresses the widely recognized, international impact of Anglo-American librarianship and its continuing influence over the past century, combining critical analysis with chronological histories of modern librarianship in Europe, North America, Australia/New Zealand, and Africa. An introductory chapter explains the origins of the project, and a concluding chapter examines the effects of digitization on modern librarianship in the 21st century.",http://books.google.com/books/content?id=9orDEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Story of Psychology,Robert C. Bolles,Education,,,"A distinguished psychological researcher, Bolles tells an intriguing story of the history of psychology in a casual and relaxed fashion. Written with the senior psychology student in mind, he conveys an understanding of the present state of psychology and the direction that cognitive psychology is headed. Bolles carefully structures the text to help readers understand what science is, the contribution by gestaltists, and the value of applied psychology. Emphasizing key participants such as Wundt, James, Hall, and Watson, Bolles also presents certain key themes--philosophical principles such as atomism, mechanism, empiricism, and associationism; and shows students that these themes have come and gone over the years. Bolles also mentions psychologists in a context of famous historical personalities, helping readers get a sense of the everyday world of each psychologist.",http://books.google.com/books/content?id=pvtGAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A History of American Literature Since 1870,Fred Lewis Pattee,Literary Collections,,,"Excerpt from A History of American Literature Since 1870 American literature in the larger sense of the term began with Irving, and, if we count The Sketch Book as the beginning, the centennial year of its birth is yet four years hence. It has been a custom, especially among the writers of text-books, to divide this century into periods, and all have agreed at one point: in the mid-thirties undoubtedly there began a new and distinct literary movement. The names given to this new age, which corresponded in a general way with the Victorian Era in England, have been various. It has been called the Age of Emerson, the Transcendental Period, the National Period, the Central Period. National it certainly was not, but among the other names there is little choice. Just as with the Victorian Era in England, not much has been said as to when the period ended. There has been no official closing, though it has been long evident that all the forces that brought it about have long since expended themselves and that a distinctively new period has not only begun but has already quite run its course. It has been our object to determine this new period and to study its distinguishing characteristics. We have divided the literary history of the century into three periods, denominating them as the Knickerbocker Period, the New England Period, and the National Period, and we have made the last to begin shortly after the close of the Civil War with those new forces and new ideals and broadened views that grew out of that mighty struggle. The field is a new one: no other book and no chapter of a book has ever attempted to handle it as a unit. It is an important one: it is our first really national period, all-American, autochthonic. It was not until after the war that our writers ceased to imitate and looked to their own land for material and inspiration. The amount of its literary product has been amazing. There have been single years in which have been turned out more volumes than were produced during all of the Knickerbocker Period. The quality of this output has been uniformly high. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",http://books.google.com/books/content?id=HpezswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Studying Singapore's Past,"Ping Tjin Thum, Karl Hack, Kevin Blackburn, John Bastin, Anthony Milner, Kelvin W.K. Ng, A.J. Stockwell, Jason Lim",History,,,"C.M. (Mary) Turnbull's contributions to historical writing on Singapore extended from her 1962 thesis, published in 1972 as ""The Straits Settlements, 1826-1867: Indian Presidency to Crown Colony"", to her magisterial history of Singapore, first published in 1977 and re-issued in 2009 in an updated edition as A History of Singapore, 1819-2005. Her approach to history involved detailed work with documents and published materials, with a particular focus on political and economic history. One contributor to the present volume described the book as an ""exercise in endowing a modern 'nation-state' with a coherent past that should explain the present."" As styles in history evolved, younger scholars including some of her former students and colleagues began exploring new approaches to historical research that drew on non-English-language souce material and asked fresh questions of the sources. Mary enjoyed controversy and expected debate, and had a deep interest in these accounts, which were in many ways a natural progression from her own publications even when they raised questions about her interpretations and conclusions. Studying Singapore's Past had its origins in a conference organised to discuss her work. The volume includes ten contributions, some from long-established scholars of Singapore's history, others from a new generation of researchers. Their work offers an evaluation of established understandings of Singapore's history, and gives an indication of new directions that researchers are exploring. In publishing the book, the editor not only pays tribute to a distinguished historian but also seeks to make a contribution to the historiography of Singapore and to ongoing debates about Singapore's past.",http://books.google.com/books/content?id=ho0sCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The History of American Homeopathy,John S Haller,Medical,,,"Although scorned in the early 1900s and publicly condemned by Abraham Flexner and the American Medical Association, the practice of homeopathy did not disappear. Instead, it evolved with the emergence of holistic healing and Eastern philosophy in the United States and today is a form of alternative medicine practiced by more than 100,000 physicians worldwide and used by millions of people to treat everyday ailments as well as acute and chronic diseases. The History of American Homeopathy traces the rise of lay practitioners in shaping homeopathy as a healing system and its relationship to other forms of complementary and alternative medicine in an age when conventional biomedicine remains the dominant form. Representing the most current and up-to-date history of American homeopathy, readers will benefit from John S. Haller Jr.'s comprehensive explanation of complementary medicine within the American social, scientific, religious, and philosophic traditions.",http://books.google.com/books/content?id=jVz9AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
History of New Zealand,History and Civilization Collection,History,4.49 EUR,,"This book presents the History of New Zealand : the ""Land of the Long White Cloud"". New Zealand is an Island country of the southwestern Pacific Ocean. The date of man's arrival in New Zealand is uncertain. All that can be safely asserted is that by the 14th century A.D. Polynesian canoe-men had reached its northern shores in successive voyages. By 1642 they had spread to South Island, for there Abel Jansen Tasman found them when, in the course of his circuitous voyage from Java in the “Heemskirk,” he chanced upon the archipelago, coasted along much of its western side, though without venturing to land, and gave it the name it still bears. One hundred and thirty-seven years later, Cook, in the barque “Endeavour,” gained a much fuller knowledge of the coasts, which he circumnavigated, visited again and again, and mapped out with fair accuracy. He annexed the country, but the British government disavowed the act. After him came other navigators, French, Spanish, Russian and American; and, as the 18th century neared its end, came sealers, whalers and trading-schooners in quest of flax and timber. English missionaries, headed by Samuel Marsden, landed in 1814, to make for many years but slow progress...",http://books.google.com/books/content?id=NkMxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
By the Sword,Richard Cohen,History,12.26 EUR,,"“Like swordplay itself, By the Sword is elegant, accurate, romantic, and full of brio—the definitive study, hugely readable, of man’s most deadly art.”—Simon Winchester With a new Preface by the author Napoleon fenced. So did Shakespeare, Karl Marx, Grace Kelly, and President Truman, who as a schoolboy would practice fencing with Bess—his future wife— when the two of them returned home from school. Lincoln was a canny dueler. Ignatius Loyola challenged a man to a duel for denying Christ’s divinity (and won). Less successful, but no less enthusiastic, was Mussolini, who would tell his wife he was “off to get spaghetti,” their code to avoid alarming the children. By the Sword is an epic history of sword fighting—a science, an art, and, for many, a religion that began at the dawn of civilization in ancient Egypt and has been an obsession for mankind ever since. With wit and insight, Richard Cohen gives us an engrossing history of the world via the sword. Praise for By the Sword “Touché! While scrupulous and informed about its subject, Richard Cohen’s book is about more than swordplay. It reads at times like an alternative social history of the West.”—Sebastian Faulks “In writing By the Sword, [Cohen] has shown that he is as skilled with the pen as he is with the sword.”—The New York Times “Irresistible . . . extraordinary . . . vivid and hugely enjoyable.”—The Economist “A virtual encyclopedia on the subject of sword fighting.”—San Francisco Chronicle “Literate, learned, and, beg pardon, razor-sharp . . . a pleasure for practitioners, and a rewarding entertainment for the armchair swashbuckler.”—Kirkus Reviews (starred review)",http://books.google.com/books/content?id=inND87EFFF4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"History of Britain, A - Volume I",Simon Schama,History,,4,"In this magnificent work, one of the most celebrated historians of our day brings the early history of Britain dramatically to life with a wealth of stories and vivid, colorful detail, reanimating familiar figures and events and drawing them skillfully into a powerful and compelling narrative. This first in Schama's two-part epic history is timed to coincide with the History Channel's broadcast of the first seven episodes of ""The History of Britain"" in October 2000.",http://books.google.com/books/content?id=Ql5nAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Modern Historians on British History, 1485-1945",G. R. Elton,History,,,"The twenty-five year period following the Second World War saw an enormous expansion of activity in the writing of the history of modern Britain, and with that expansion a major transformation of the state of knowledge in many parts of the area. First published in 1970, this Revivals reissue, which includes an extensive coverage of books and a reasonable selection of articles, endeavours both to survey the work done and to reduce it to some comprehensible order. It indicates achievements and probable lines of development, and collects the materials that have grown around the main controversies. Omitted are local history (in the main) and the history of empire and commonwealth, except where the latter really arises out of the affairs of the mother country. There are special sections on social history, the history of ideas, Scotland and Ireland.",http://books.google.com/books/content?id=ueHISGwtYfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
History as Art and as Science,Henry Stuart Hughes,History,,,,
The Mosquito,Timothy Charles Winegard,Death,,,"A pioneering and groundbreaking work of narrative nonfiction that offers a dramatic new perspective on the history of humankind, this text shows how through millennia, the mosquito has been the single most powerful force in determining humanity's fate.",http://books.google.com/books/content?id=XKAHwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"War, Progress, and the End of History",Vladimir Sergeyevich Solovyov,"Body, Mind & Spirit",,,"In this prophetic, millennial work, written by Russia's greatest philosopher at the end of the last century, the great task facing humanity as progress races to end history is the resistance to evil. Solovyov addresses what seem to him the three main trends of our time: economic materialism, Tolstoyan abstract moralism, and Nietzschean hubris--the first is already present, the second imminent, while the last is the apocalyptic precursor of the Antichrist.",http://books.google.com/books/content?id=3n8WAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
When History Is Personal,Mimi Schwartz,Biography & Autobiography,18.12 EUR,,"When History Is Personal contains the stories of twenty-five moments in Mimi Schwartz’s life, each heightened by its connection to historical, political, and social issues. These essays look both inward and outward so that these individualized tales tell a larger story—of assimilation, the women’s movement, racism, anti-Semitism, end-of-life issues, ethics in writing, digital and corporate challenges, and courtroom justice. A shrewd and discerning storyteller, Schwartz captures history from her vantage as a child of German-Jewish immigrants, a wife of over fifty years, a breast cancer survivor, a working mother, a traveler, a tennis player, a daughter, and a widow. In adding her personal story to the larger narrative of history, culture, and politics, Schwartz invites readers to consider her personal take alongside “official” histories and offers readers fresh assessments of our collective past.",http://books.google.com/books/content?id=T6RJDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Cambridge Economic History of the Greco-Roman World,"Walter Scheidel, Ian Morris, Richard P. Saller",History,,,"In this, the first comprehensive one-volume survey of the economies of classical antiquity, twenty-eight chapters summarise the current state of scholarship in their specialised fields and sketch new directions for research. The approach taken is both thematic, with chapters on the underlying determinants of economic performance, and chronological, with coverage of the whole of the Greek and Roman worlds extending from the Aegean Bronze Age to Late Antiquity. The contributors move beyond the substantivist-formalist debates that dominated twentieth-century scholarship and display a new interest in economic growth in antiquity. New methods for measuring economic development are explored, often combining textual and archaeological data that have previously been treated separately. Fully accessible to non-specialist, the volume represents a major advance in our understanding of the economic expansion that made the civilisation of the classical Mediterranean world possible.",http://books.google.com/books/content?id=ENacMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Illustrated Encyclopedia of Ancient Greece,Nigel Rodgers,Greece,,,"The legacy of the ancient Greeks has shaped our world. Their military prowess, political sophistication, and cultural innovations continue to influence modern society. This reference guide evokes the magnificent heritage of classical Greece.",http://books.google.com/books/content?id=lu71XwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Numen. International Review for the History of Religions,INTERNATIONAL ASSOCIATION FOR THE HISTORY OF RELIGIONS.,,,,,
History of the Conquest of Peru,William Hickling Prescott,,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=5baCjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Revision Notes: OCR AS/A-level History: Democracy and Dictatorships in Germany 1919-63,Nicholas Fellows,Study Aids,,,"Exam Board: OCR Level: AS/A-level Subject: History First Teaching: September 2015 First Exam: Summer 2016 Target success in OCR AS/A-level History with this proven formula for effective, structured revision; key content coverage is combined with exam preparation activities and exam-style questions to create a revision guide that students can rely on to review, strengthen and test their knowledge. - Enables students to plan and manage a successful revision programme using the topic-by-topic planner - Consolidates knowledge with clear and focused content coverage, organised into easy-to-revise chunks - Encourages active revision by closely combining historical content with related activities - Helps students build, practise and enhance their exam skills as they progress through activities set at three different levels - Improves exam technique through exam-style questions with sample answers and commentary from expert authors and teachers - Boosts historical knowledge with a useful glossary and timeline",http://books.google.com/books/content?id=nM4iDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sociology in America,Craig Calhoun,Social Science,,,This is an exploration of the growth of American sociology as it addressed changes and challenges throughout the 20th century covering topics ranging from the discipline's intellectual roots to understanding (and misunderstanding) of race and gender to the impact of the Depression and the 1960s.,http://books.google.com/books/content?id=7BJWA6rkLc0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Catholicism and History,Owen Chadwick,,,,,
The History of the Kings of Britain,Geoffrey Monmouth,,,,"""The History of the Kings of Britain,"" which was published in the 12th century, is one of the first books to have ever collected the stories of King Arthur and the Prophesies of Merlin. It contains the original subject matter for the story of Shakespeare's King Lear and some histories of Brutus and the origin of the British Isles. A masterpiece in the English literary canon.",
Using New Technologies to Enhance Teaching and Learning in History,Terry Haydn,EDUCATION,,,"This collection offers practical guidance and examples of the ways in which new technology can enhance pupil engagement in the subject, impact on knowledge retention, get pupils learning outside the history classroom, and help them to work collaboratively using a range of Web 2.0 applications.",http://books.google.com/books/content?id=eBEfKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Cambridge History of China: Volume 5, Sung China, 960-1279 AD","John W. Chaffee, Denis Twitchett",History,,,"This is the second of two volumes on the Sung Dynasty, which together provide a comprehensive history of China from the fall of the T'ang Dynasty in 907 to the Mongol conquest of the Southern Sung in 1279. With contributions from leading historians in the field, Volume 5, Part Two paints a complex portrait of a dynasty beset by problems and contradictions, but one which, despite its military and geopolitical weakness, was nevertheless economically powerful, culturally brilliant, socially fluid and the most populous of any empire in global history to that point. In this much anticipated addition to the series, the authors survey key themes across ten chapters, including government, economy, society, religion, and thought to provide an authoritative and topical treatment of a profound and significant period in Chinese history.",
HIST OF ENGLISH CRITICISM BEIN,George 1845-1933 Saintsbury,History,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=jq5WvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fallen Glory,James Crawford,Architecture,,,"“A narrative that spans seven millennia, five continents and even reaches into cyberspace. . . . I savored each page.” —Henry Petroski, Wall Street Journal In Fallen Glory, James Crawford uncovers the biographies of some of the world’s most fascinating lost and ruined buildings, from the dawn of civilization to the cyber era. The lives of these iconic structures are packed with drama and intrigue, featuring war and religion, politics and art, love and betrayal, catastrophe and hope. They provide the stage for a startling array of characters, including Gilgamesh, the Cretan Minotaur, Agamemnon, Nefertiti, Genghis Khan, Henry VIII, Catherine the Great, Adolf Hitler, and even Bruce Springsteen. The twenty-one structures Crawford focuses on include The Tower of Babel, The Temple of Jerusalem, The Library of Alexandria, The Bastille, Kowloon Walled City, the Berlin Wall, and the Twin Towers of the World Trade Center. Ranging from the deserts of Iraq, the banks of the Nile and the cloud forests of Peru, to the great cities of Jerusalem, Istanbul, Paris, Rome, London and New York, Fallen Glory is a unique guide to a world of vanished architecture. And, by picking through the fragments of our past, it asks what history’s scattered ruins can tell us about our own future. “Witty and memorable . . . moving as well as myth-busting.” —Times Literary Supplement (UK) “[An] elegant, charged book . . . A well-written prize for students of history, archaeology, and urban planning.” —Kirkus Reviews, starred review “Astute, entertaining, and affecting.” —Booklist “A lovely, wise book.” —Alexander McCall Smith, New Statesman (UK) “A cabinet of curiosities, a book of wonders with unexpected excursions and jubilant and haunting marginalia.” —Spectator (UK)",http://books.google.com/books/content?id=T8TVCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A History of the Spanish Lexicon,Steven N. Dworkin,Language Arts & Disciplines,73.39 EUR,,"This history of the Spanish lexicon is written from the interacting perspectives of linguistic and cultural change and in the light of advances in the study of language contact and lexical change. The author describes the language inherited from spoken Latin in the Iberian Peninsula during six centuries of Roman occupation and examines the degree to which it imported words from the languages - of which only Basque survives - of pre-Roman Spain. He then shows how Germanic words were imported either indirectly through Latin or Old French or directly by contact with the Visigoths. He describes the importation of Arabisms following the eighth-century Arab conquest of Spain, distinguishing those documented in medieval sources from those adopted for everyday use, many of which survive in modern Spanish. He considers the influence of Old French and Old Provençal and identifies late direct and indirect borrowings from Latin, including the Italian elements taken up during the Renaissance. After outlining minor influences from languages such as Flemish, Portuguese, and Catalan, Professor Dworkin examines the effects on the lexicon of contact between Spanish and the indigenous languages of South and Central America, and the impact of contact with English. The book is aimed at advanced students and scholars of Spanish linguistics and will interest specialists in Hispanic literary and cultural studies.",http://books.google.com/books/content?id=LQJREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
An Economic History of London 1800-1914,"Professor Michael Ball, David T Sunderland",Business & Economics,58.84 EUR,,"In 1800 London was already the largest city in the world, and over the course of the next century its population grew rapidly, reaching over seven million by 1914. Historians have often depicted London after the Industrial Revolution as an industrial backwater that declined into the mass exploitation of labour through 'sweating', dominated by City",http://books.google.com/books/content?id=09aAAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sino-Iranica,Berthold Laufer,Science,,5,,http://books.google.com/books/content?id=d0ETAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6 Monate. Life is a Story - story.one,Ritz Tidoso,,,,,http://books.google.com/books/content?id=oTv6EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
