Title,Authors,Genre,Price,Rating,Description,Image
"Archive, Slow Ideology and Egodocuments as Microhistorical Autobiography",Sigurður Gylfi Magnússon,History,29.95 EUR,,"This book aims to demonstrate how scholars in recent times have been utilizing egodocuments from various angles and providing an opening for the multivocality of the sources to be fully appreciated. The first part of the book is concerned with the significance of egodocuments, both for the individual him/herself who creates such documents, and also for the other, who receives them. The author approaches the subject on the basis of his own personal experience, and goes on to discuss the importance of such documents for the academic world, emphasizing more general questions and issues within the fields of historiography, philosophy of history, microhistory, and memory studies. The second part of the book is based upon a photographic collection – an archive – that belonged to the author’s grandfather, who over decades accumulated photographs of vagabonds and outsiders. This part seeks to explore what kind of knowledge can be applied when a single source – an archive, document, letter, illustration, etc. – is examined, and whether the knowledge derived may not be quite as good in its own context as in the broader perspective.",http://books.google.com/books/content?id=3l5CEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of Energy Flows,Anthony N. Penna,Nature,56.7 EUR,,"This book presents a global and historical perspective of energy flows during the last millennium. The search for sustainable energy is a key issue dominating today’s energy regime. This book details the historical evolution of energy, following the overlapping and slow flowing transitions from one regime to another. In doing so it seeks to provide insight into future energy transitions and the means of utilizing sustainable energy sources to reduce humanity’s fossil fuel footprint. The book begins with an examination of the earliest and most basic forms of energy use, namely, that of humans metabolizing food in order to work, with the first transition following the domestication and breeding of horses and other animals. The book also examines energy sources key to development during the industrialization and mechanization, such as wood and coal, as well as more recent sources, such as crude oil and nuclear energy. The book then assesses energy flows that are at the forefront of sustainability, by examining green sources, such as solar, wind power and hydropower. While it is easy to see energy flows in terms of “revolutions,” transitions have taken centuries to evolve, and transitions are never fully global, as, for example, wood remains the primary fuel source for cooking in much of the developing world. This book not only demonstrates the longevity of energy transitions but also discusses the possibility for reducing transition times when technological developments provide inexpensive and safe energy sources that can reduce the dependency on fossil fuels. This book will be of great interest to students and scholars of energy transitions, sustainable energy and environmental and energy history.",http://books.google.com/books/content?id=gMyxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Story of the Irish Race,Seumas MacManus,,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=Mk86jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Cultural History of Genocide,Paul R Bartrop,History,,,A comprehensive six-volume reference work which thematically covers the history of genocide from antiquity through to the present day.,http://books.google.com/books/content?id=bnUDEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The History of England from the Accession of James the Second,Thomas Babington Macaulay,,,,,http://books.google.com/books/content?id=MlZhAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Polis & Politics,"Pernille Flensted-Jensen, Thomas Heine Nielsen, Mogens Herman Hansen, Lene Rubinstein",History,,,"Contains 35 articles devoted to different aspects of the Greek polis and is intended not only as a present for Mogens Herman Hansen on his sixtieth birthday, but also as a way of thanking him for his significant contributions to the field of Greek history over the past three decades.",http://books.google.com/books/content?id=SIAO_OsNG_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Letters on the Study and Use of History,Henry St. John Bolingbroke (Viscount),History,,,,
The Second World War,Alan John Percivale Taylor,History,,,,http://books.google.com/books/content?id=6pbtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Origins of Nationalism,Caspar Hirschi,HISTORY,,,"""In this wide-ranging work, Caspar Hirschi offers new perspectives on the origins of nationalism and the formation of European nations. Based on extensive study of written and visual sources dating from the ancient to the early modern period, the author re-integrates the history of pre-modern Europe into the study of nationalism, describing it as an unintended and unavoidable consequence of the legacy of Roman imperialism in the Middle Ages. Hirschi identifies the earliest nationalists among Renaissance humanists, exploring their public roles and ambitions to offer new insight into the history of political scholarship in Europe and arguing that their adoption of ancient role models produced massive contradictions between their self-image and political function. This book demonstrates that only through understanding the development of the politics, scholarship and art of pre-modern Europe can we fully grasp the global power of nationalism in a modern political context""--",
Humans,Tom Phillips,Disasters,,,"***THE INTERNATIONAL BESTSELLER*** 'This book is brilliant. Utterly, utterly brilliant' Jeremy Clarkson 'F*cking brilliant' Sarah Knight AN EXHILARATING JOURNEY THROUGH THE MOST CREATIVE AND CATASTROPHIC F*CK-UPS OF HUMAN HISTORY In the seventy thousand years that modern human beings have walked this earth, we've come a long way. Art, science, culture, trade - on the evolutionary food chain, we're real winners. But, frankly, it's not exactly been plain sailing, and sometimes - just occasionally - we've managed to really, truly, quite unbelievably f*ck things up. From Chairman Mao's Four Pests Campaign, to the American Dustbowl; from the Austrian army attacking itself one drunken night, to the world's leading superpower electing a reality TV mogul as President... it's pretty safe to say that, as a species, we haven't exactly grown wiser with age. So, next time you think you've really f*cked up, this book will remind you: it could be so much worse... FURTHER PRAISE FOR HUMANS: 'Very funny' Mark Watson 'A light-touch history of moments when humans have got it spectacularly wrong... Both readable and entertaining' The Telegraph 'Chronicles humanity's myriad follies down the ages with malicious glee and much wit ... a rib-tickling page-turner' Business Standard 'A timely, irreverent gallop through thousands of years of human stupidity' Nicholas Griffin, Ping-Pong Diplomacy: The Secret History Behind the Game That Changed the World",http://books.google.com/books/content?id=s4ujtQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A History of New York from the Beginning of the World to the End of the Dutch Dynasty. By: Washington Irving and By: Diedrich Knickerbocker,"Washington Irving, Diedrich Knickerbocker",,,,"Diedrich Knickerbocker, persona invented by American writer Washington Irving to narrate the burlesque A History of New York (1809). An eccentric 25-year-old scholar, Knickerbocker relates this comic history of Dutch settlers in the American colony of New Amsterdam, satirizing Dutch-American mannerisms and retelling Dutch legends. Knickerbocker also narrates Irving's story Rip Van Winkle. The word Knickerbocker became synonymous with Dutch Americans in New York state and, later, with all residents of the state. The word also came to describe the knee breeches that characters wore in the original illustrated text of A History of New York............ Washington Irving (April 3, 1783 - November 28, 1859) was an American short story writer, essayist, biographer, historian, and diplomat of the early 19th century. He is best known for his short stories ""Rip Van Winkle"" (1819) and ""The Legend of Sleepy Hollow"" (1820), both of which appear in his collection, The Sketch Book of Geoffrey Crayon, Gent. His historical works include biographies of Oliver Goldsmith, Muhammad, and George Washington, as well as several histories of 15th-century Spain dealing with subjects such as Alhambra, Christopher Columbus, and the Moors. Irving served as the U.S. ambassador to Spain from 1842 to 1846. He made his literary debut in 1802 with a series of observational letters to the Morning Chronicle, written under the pseudonym Jonathan Oldstyle. After moving to England for the family business in 1815, he achieved international fame with the publication of The Sketch Book of Geoffrey Crayon, Gent., serialized from 1819-20. He continued to publish regularly-and almost always successfully-throughout his life, and just eight months before his death (at age 76, in Tarrytown, New York), completed a five-volume biography of George Washington. Irving, along with James Fenimore Cooper, was among the first American writers to earn acclaim in Europe, and Irving encouraged American authors such as Nathaniel Hawthorne, Henry Wadsworth Longfellow, Herman Melville, and Edgar Allan Poe. Irving was also admired by some European writers, including Lord Byron, Thomas Campbell, Charles Dickens, Francis Jeffrey, and Walter Scott. Also, as the United States' first internationally best-selling author, Irving advocated for writing as a legitimate profession and argued for stronger laws to protect American writers from copyright infringement. Washington Irving's parents were William Irving, Sr., originally of Quholm, Shapinsay, Orkney, Scotland, and Sarah (nee Sanders), both Scottish-English immigrants. They married in 1761 while William was serving as a petty officer in the British Navy. They had eleven children, eight of whom survived to adulthood. Their first two sons, each named William, died in infancy, as did their fourth child, John. Their surviving children were: William, Jr. (1766), Ann (1770), Peter (1771), Catherine (1774), Ebenezer (1776), John Treat (1778), Sarah (1780), and Washington.The Irving family settled in Manhattan, New York and was part of the city's small, vibrant merchant class when Washington Irving was born on April 3, 1783, the same week New York City residents learned of the British ceasefire that ended the American Revolution; Irving's mother named him after the hero of the revolution, George Washington.At age 6, with the help of a nanny, Irving met his namesake, who was then living in New York after his inauguration as President of the United States, in 1789. The president blessed young Irving, an encounter Irving later commemorated in a small watercolor painting, which continues to hang in his home.The Irvings lived at 131 William Street at the time of Washington Irving's birth. The family later moved across the street to 128 William St. Several of Washington Irving's older brothers became active New York merchants, and they encouraged their younger brother's literary aspirations....",http://books.google.com/books/content?id=Yo3YswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Making History,Edward Palmer Thompson,History,,,A collection of twenty historical and review essays published over a period of thirty years covers topics ranging from Mary Wollstonecraft to the British family,http://books.google.com/books/content?id=NMRyQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A History of Modern France,Jeremy D. Popkin,France,,,This book offers a framework to understand modern French history through a survey of the dramatic events that have punctuated its history from the eighteenth century to the present day. It is the ideal introduction to the history of modern France for students of this fascinating country.,http://books.google.com/books/content?id=e4beygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Chinese and Americans,Guoqi Xu,History,,,"Using culture rather than politics or economics as a reference point, Xu Guoqi highlights significant yet neglected cultural exchanges in which China and America have contributed to each other’s national development, building the foundation of what Zhou Enlai called a relationship of “equality and mutual benefit.”",http://books.google.com/books/content?id=jCh9BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Cambridge History of Africa: From c. 1790 to c. 1870,,Africa,,,,
Settler Economies in World History,,Business & Economics,,,"Settler colonialism was a major aspect of the imperial age that began in the sixteenth century and has encompassed the whole world unto the present. Modern settler societies have together constituted one of the major routes to economic development from their foundation in resource abundance and labour scarcity. This book is a major and wide-ranging comparative historical enquiry into the experiences of the settler world. The roles of indigenous dispossession, large-scale immigrant labour, land abundance, trade, capital, and the settler institutions, are central to this economic formation and its history. The chapters examine those economies that emerged as genuine colonial hybrids out of their differing neo-European backgrounds, with distinctive post-independence structures and an institutional persistence into the present as independent states. Contributors include Stanley Engerman, Susan Carter, Henry Willebald, Luis Bertola, Claude Lützelschwab, Frank Tough, Kathleen Dimmer, Tony Ward, Drew Keeling, Carl Mosk, David Meredith, Martin Shanahan, John K Wilson, Bernard Attard, Grietjie Verhoef, Tim Rooth, Francine McKenzie, Jorge Alvarez, Jim McAloon, as well as the editors.",http://books.google.com/books/content?id=aR4yAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
History of Modern Islamic Civilization,Fulki Ainur Rafi,History,,,"This book is the result of the author's study of various themes and problems that occurred in the history of this modern period. However, the discussion is still an introduction or only briefly discussed.",http://books.google.com/books/content?id=pWg7EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of the Huguenots of the Dispersion at the Recall of the Edict of Nantes (1880),Reginald Lane Poole,,,,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work.",http://books.google.com/books/content?id=o279uAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"History of Cleopatra, Queen of Egypt",Jacob Abbott,Biography & Autobiography,,,,http://books.google.com/books/content?id=p4C-0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
American Architectural History,Keith Eggener,Architecture,,,"This book presents a collection of recent writings on architecture and urbanism in the United States, with topics ranging from colonial to contemporary times.",http://books.google.com/books/content?id=4ad-GxhfYggC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Proceedings of the Boston Society of Natural History,Boston Society of Natural History,Natural history,,,,http://books.google.com/books/content?id=WGd2dLHiAJ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Baseball,Benjamin G. Rader,Sports & Recreation,,,"""In this second edition of his lively, compact history of America's game--widely recognized as the best of its kind--Benjamin G. Rader expands his scope to include commentary on baseball in the 1990s: the building of retroparks, the return of the Yankees, the dizzying race for new home-run records, and other topics.""",http://books.google.com/books/content?id=LRTU0n3IcEYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of Armenia,Vahan M. Kurkjian,Art,,,"The volume is an easy reading and a must for the beginner student and interested party of the history of Armenia as well as for those more familiar with Armenian and its history. The author, an expert on Armenian history, has masterfully covered all aspects of the Armenian history such as Armenian literature, Armenian Church, the history of Armenian old and modern language, architecture, sculpture, music etc. along with all the historical events, starting from the beginning of the human civilization and that of Armenian one to the modern era of Armenia.",http://books.google.com/books/content?id=WYFjuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Created Equal,"Jacqueline A. Jones, Peter H. Wood, Thomas Borstelmann, Vicki L. Ruiz, Elaine Tyler May",History,,,"ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products. Packages Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase. Used or rental books If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code. Access codes Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase. -- Re-examines American History through the theme of contested equality Taking an inclusive view of American history, Created Equal emphasizes the struggles for equality experienced by diverse groups of Americans across the many regions of the nation. With a steadfast chronological framework, and a strong narrative thread, the authors offer a fresh and critical perspective on the traditional story. MyHistoryLab is an integral part of the Jones program. Key learning applications include assessment, MyHistoryLab Video Series, and History Explorer. A better teaching and learning experience This program will provide a better teaching and learning experience-for you and your students. Here's how: Personalize Learning -- MyHistoryLab is an online homework, tutorial, and assessment program. It helps students prepare for class and instructor gauge individual and class performance. Emphasize Outcomes -- Learning Objective Questions at the beginning of each chapter and a chapter review and thematic timeline ending each chapter keep students focused on what they need to know. On MyHistoryLab, practice tests help students achieve these objectives by measuring progress and creating personalized study plans. Engage Students -- A new pedagogically-driven design highlights a clear learning path through the material and offers a visually stunning learning experience in print or on a screen. With the Pearson eText, students can transition directly to MyHistoryLab resources such as primary source documents, videos, and mapping exercises. Improve Critical Thinking -- Powerful learning applications in MyHistoryLab-including Explorer mapping exercises, Closer Look analyses of sources and topics, and Writing Assessments tied to engaging videos-promote critical thinking. Support Instructors -- MyHistoryLab, Instructor's eText, MyHistoryLab Instructor's Guide, Class Preparation Tool, Instructor's Manual, MyTest, and PowerPoints are available. 0205950345 / 9780205950348 Created Equal: A History of the United States, Combined Volume Plus New MyHistoryLab with eText -- Access Card Package, 4/e Package consists of: 0205206549 / 9780205206544 NEW MyHistoryLab with Pearson eText -- Valuepack Access Card 0205901301 / 9780205901302 Created Equal: A History of the United States, Combined Volume",http://books.google.com/books/content?id=44cwnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"A History of International Monetary Diplomacy, 1867 to the Present",Giulio M. Gallarotti,Business & Economics,51.35 EUR,,"This book is about how the rise of democracy has transformed economics over the past 150 years. As voting was expanded to the masses in the late 19th century, political leaders faced emergent pressures to deliver prosperity to their newly enfranchised populations. This led to the rise of the guardian state: a state whose prime directive was to protect economic growth and employment. Domestic economic goals now became sacrosanct, and if that meant a failure on the international stage to construct solutions to problems in monetary relations, so be it. The book traces the history of international monetary diplomacy during this long period to show how the guardian state has manifested itself, and how it has shaped the course of international monetary relations. Each of the most important international monetary conferences in history is scrutinized with respect to how nations sought to protect the prosperity within their national economies. The historical narratives give a bird’s-eye view into how domestic political priorities have intruded on and shaped economic relations among nations. The book clearly demonstrates the advantages of an interdisciplinary understanding of how politics shapes economics. It will be invaluable reading for scholars and students of international economics, politics and economic history.",http://books.google.com/books/content?id=5gwxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The French Revolution,Thomas Carlyle,France,,,,
A History of Brazil,,,,,,
Economic and Social History of the World War,,Archives,,,,
Schoolbook Nation,Joseph Moreau,Education,,,An unbiased examination of the century-and-a-half-long culture wars fought in the pages of our country's history texts,http://books.google.com/books/content?id=Q351AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Quick History of the Mayan Civilization - History for Kids | Children's History Books,Baby Professor,Art,3.33 EUR,,"Looking back and learning about the ancient times can get boring. Dates, people, facts and events can get overwhelming especially to young children. But historical facts are important in shaping the future. That is why we took the initiative of creating powerful learning materials that are able to attract and keep learners’ attention. Take a look at this book today!",http://books.google.com/books/content?id=KA9CDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The creeds of Christendom, with a history and critical notes",Philip Schaff,,,,,http://books.google.com/books/content?id=KV5t7l16TpMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Journal of Economic and Business History,,,,,,http://books.google.com/books/content?id=s-Tg1Lb7nyMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Localizing Oral History,W. K. McNeil,History,,,,http://books.google.com/books/content?id=a0meXUPKHOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
5 Steps to a 5: AP U.S. History 2023 Elite Student Edition,Daniel P. Murphy,Study Aids,25.43 EUR,,"AP Teachers’ #1 Choice! Ready to succeed in your AP course and ace your exam? Our 5 Steps to a 5 guides explain the tough stuff, offer tons of practice and explanations, and help you make the most efficient use of your study time. 5 Steps to a 5: AP U.S. History Elite is more than a review guide, it’s a system that has helped thousands of students walk into test day feeling prepared and confident. Everything you Need for a 5: 3 full-length practice tests that align with the latest College Board requirements Hundreds of practice exercises with answer explanations Comprehensive overview of all test topics Proven strategies from seasoned AP educators Why the Elite edition? 200+ pages of additional AP content 5-minute daily activities to reinforce critical AP concepts AP educators love this feature for bellringers in the classroom! Study on the Go: All instructional content in digital format (for both computers and mobile devices) Interactive practice tests with answer explanations A self-guided study plan with daily goals, powerful analytics, flashcards, games, and more A Great In-class Supplement: 5 Steps is an ideal companion to your main AP text Includes an AP U.S. History Teacher’s Manual that offers excellent guidance to educators for better use of the 5 Steps resources",http://books.google.com/books/content?id=yYyJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Illinois History Teacher,,Illinois,,,,http://books.google.com/books/content?id=wbfAfFTrj_wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The History of Nations,Henry Cabot Lodge,World history,,,,http://books.google.com/books/content?id=MrwW2Fe7gV8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
"A History of St. Joseph County, Indiana",Timothy Edward Howard,Saint Joseph County (Ind.),,,,http://books.google.com/books/content?id=tDCANsu7vPcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Transafrican Journal of History,,Africa,,,,http://books.google.com/books/content?id=7xv5_n0LZEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Indiana History Bulletin,,Indiana,,,,http://books.google.com/books/content?id=2dB9fGUKpEUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
World History 1,Dallas Public Schools,History,,,,http://books.google.com/books/content?id=qID5rkZjgaUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Fifth Grade, Tentative Outline in Geography and History",Kansas City (Mo.). Dept. of Education,Education,,,,http://books.google.com/books/content?id=eC5AjSaxtuIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Bulletin of the Boston Society of Natural History,Boston Society of Natural History,Natural history,,,,http://books.google.com/books/content?id=SvzpmfNN2sgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
History of Medieval Philosophy,Maurice Wulf,"Philosophy, Medieval",,,,http://books.google.com/books/content?id=37I_sGBiRw4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
"An Illustrated History of Central Oregon, Embracing Wasco, Sherman, Gilliam, Wheeler, Crook, Lake and Klamath Counties, State of Oregon","Arthur P. Rose, Richard F. Steele, A. E. Adams",Crook County (Or.),,,,http://books.google.com/books/content?id=cVbTeNKWw8gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Pamphlets on Forestry. History,,Forests and forestry,,,,http://books.google.com/books/content?id=v5_uHAi5b1AC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The History of Statistics,John Koren,Statistics,,,,http://books.google.com/books/content?id=rljHNdcSCdgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Some Difficulties in Elementary School History,Adelaide May Ayer,Education,,,,http://books.google.com/books/content?id=p8pYJx8NNhUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Essential Facts of American History,Lawton Bryan Evans,United States,,,,http://books.google.com/books/content?id=OFkwcqx3d0YC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Bennington, Vermont, an Industrial History",Rush Welter,Bennington (Vt.),,,,http://books.google.com/books/content?id=E03vjRg1zaUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Surgery, Its Principles and Practice: History; surgical physiology; surgical pathology; infections; tumors; wounds","William Williams Keen, John Chalmers Da Costa",,,,,http://books.google.com/books/content?id=rOfmm3QC-RcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Oral History,,Oral history,,,,http://books.google.com/books/content?id=OOYOHpfIc0QC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Journal of Arizona History,,American periodicals,,,,http://books.google.com/books/content?id=kLsPClu6NBgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
History of Our County and State,,Aurora County (S.D.),,,,http://books.google.com/books/content?id=xGdhwLYcgpEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
