Title,Authors,Genre,Price,Rating,Description,Image
LADY,Emily James 1865-1944 Putnam,History,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=metgvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Effects of the Patient Protection and Affordable Care Act on Schools, Colleges, and Universities","United States. Congress, United States House of Representatives, Committee on Education and the Workforce",,,,"The effects of the Patient Protection and Affordable Care Act on schools, colleges, and universities : hearing before the Committee on Education and the Workforce, U.S. House of Representatives, One Hundred Thirteenth Congress, first session, hearing held in Washington, DC, November 14, 2013.",http://books.google.com/books/content?id=p0-ntAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ghost in the Wires,"Kevin David Mitnick, William L Simon",Computer crimes,,,"Kevin Mitnick, the world's most wanted computer hacker, managed to hack into some of the country's most powerful - and seemingly impenetrable - agencies and companies.",http://books.google.com/books/content?id=mx_AjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Trotskyite Terrorist International,United States. Congress. Senate. Committee on the Judiciary,,,,,
The Professor Illustrated,Charlotte Brontë,,,,"The Professor was the first novel by Charlotte Brontë. It was written before Jane Eyre, but was rejected by many publishing houses. It was eventually published, posthumously, in 1857, with the approval of Charlotte Brontë's widower, Arthur Bell Nicholls, who took on the task of reviewing and editing the text.",http://books.google.com/books/content?id=N3HAzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Cloud Security Ecosystem,"Ryan Ko, Raymond Choo",Computers,,,"Drawing upon the expertise of world-renowned researchers and experts, The Cloud Security Ecosystem comprehensively discusses a range of cloud security topics from multi-disciplinary and international perspectives, aligning technical security implementations with the most recent developments in business, legal, and international environments. The book holistically discusses key research and policy advances in cloud security - putting technical and management issues together with an in-depth treaties on a multi-disciplinary and international subject. The book features contributions from key thought leaders and top researchers in the technical, legal, and business and management aspects of cloud security. The authors present the leading edge of cloud security research, covering the relationships between differing disciplines and discussing implementation and legal challenges in planning, executing, and using cloud security. Presents the most current and leading-edge research on cloud security from a multi-disciplinary standpoint, featuring a panel of top experts in the field Focuses on the technical, legal, and business management issues involved in implementing effective cloud security, including case examples Covers key technical topics, including cloud trust protocols, cryptographic deployment and key management, mobile devices and BYOD security management, auditability and accountability, emergency and incident response, as well as cloud forensics Includes coverage of management and legal issues such as cloud data governance, mitigation and liability of international cloud deployment, legal boundaries, risk management, cloud information security management plans, economics of cloud security, and standardization efforts",http://books.google.com/books/content?id=Q1PxrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The World War and What Was Behind It Or, the Story of the Map of Europe",Louis Paul Benezet,,,,"The World War and What was Behind It Or, the Story of the Map of Europe by Louis Paul Benezet Chapter I The Great War The call from Europe.-Friend against friend.-Why?-Death and devastation.-No private quarrel.-Ordered by government.-What makes government?-The influence of the past.-Four causes of war. Among the bricklayers at work on a building which was being erected in a great American city during the summer of 1914 were two men who had not yet become citizens of the United States. Born abroad, they still owed allegiance, one to the Emperor of Austria, the other to the Czar of Russia. Meeting in a new country, and using a new language which gave them a chance to understand each other, they had become well acquainted. They were members of the same labor union, and had worked side by side on several different jobs. In the course of time, a firm friendship had sprung up between them. Suddenly, on the same day, each was notified to call at the office of the agent of his government in the city. Next morning the Russian came to his boss to explain that he must quit work, that he had been called home to fight for the ""Little Father"" of the Russians. He found his chum, the Austrian, there ahead of him, telling that he had to go, for the Russians had declared war on Austria and the good Kaiser, Franz Josef, had need of all his young men. 1In the German language, the title Kaiser means Emperor. The two chums stared at each other in sorrow and dismay. The pitiless arm of the god of war had reached across the broad Atlantic, plucking them back from peace and security. With weapons put into their hands they would be ordered to kill each other on sight. A last hand-clasp, a sorrowful ""Good luck to you,"" and they parted. Why was this necessary? What was this irresistible force, strong enough to separate the two friends and drag them back five thousand miles for the purpose of killing each other? To answer these two questions is the purpose of this little volume. Beginning with the summer of 1914, Europe and parts of Asia and Africa were torn and racked with the most tremendous war that the world has ever seen. Millions of men were killed. Other millions were maimed, blinded, or disfigured for life. Still other millions were herded into prison camps or forced to work like convict laborers. Millions of homes were filled with grief. Millions of women were forced to do hard work which before the war had been considered beyond their power. Millions of children were left fatherless. What had been the richest and most productive farming land in Europe was made a barren waste. Thousands of villages and towns were utterly destroyed and their inhabitants were forced to flee, the aged, the sick, and the infants alike. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",http://books.google.com/books/content?id=bcQruQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Correspondence of Catharine Macaulay,Karen Green,Philosophy,27.04 EUR,,"Catharine Macaulay was a celebrated republican historian, whose account of the reasons for the seventeenth-century English Revolution, the parliamentary period, and its aftermath was widely read by the mothers and fathers of American Independence and by central players in the French Revolution. As well as publishing her eight volume history, spanning the period from the accession of James I to the Glorious Revolution of 1688, she wrote political pamphlets, offered a sketch of a republican constitution for Corsica, advocated parliamentary reform, and published a response to Edmund Burke's Reflections on the Revolution in France. Her Letters on Education of 1790 made a decisive impact on the thought of Mary Wollstonecraft, and her Treatise on the Immutability of Moral Truth opposed the skeptical and utilitarian attitudes being developed by Hume and others. This volume brings together for the first time all the available letters between her and her wide-ranging correspondents, who include George Washington, John Adams, Abigail Adams, Mercy Otis Warren, James Otis, Benjamin Rush, David Hume, James Boswell, Thomas Hollis, John Wilkes, Horace Walpole, Mary Wollstonecraft, Jacques-Pierre Brissot de Warville, and many other luminaries of the eighteenth-century enlightenment. It includes an extended introduction to her life and works and offers a unique insight into the thinking of her friends and correspondents during the period between 1760 and 1790, the crucible for the development of modern representative democracies. The Correspondence of Catharine Macaulay will appeal to scholars of philosophy, political thought, women's studies, and eighteenth-century history, as well as those interested in the development of democratic ideas.",http://books.google.com/books/content?id=3varDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Turn Around the Ship! Workbook,"David Marquet, Andy Worshek, Jeffrey Leap",Business & Economics,,,"In his book Turn the Ship Around! former U.S. Navy Captain David Marquet introduced a bold new approach to leadership based on his experiences turning around the troubled submarine USS Santa Fe. He gave up the traditional command-and-control model and instead developed a crew that took initiative, assumed responsibility, and was biased for action. The Santa Fe rapidly improved its performance, started winning awards, and created more subsequent leaders than any other submarine in the fleet. This workbook will help you apply Marquet's methods to your organization. With the questions, activities, and exercises used in Fortune 500 workshops on how to delegate and inspire, it will show you how to build a work community based on personality responsibility and trust. Whether you sit in a cubicle or stand on a submarine deck, these tools will help you create a healthier and more effective workplace. This third edition of The Turn the Ship Around Workbook! has been updated with more exercises, new research, and links to ""Leadership Nudges""-one-minute videos that will help you implement Intent-Based Leadership. ""David Marquet is the kind of leader who comes around only once in a generation. He doesn't just know how to lead; he knows how to build leaders. His ideas and lessons are invaluable to anyone who wants to build an organization that will outlive them.""--Simon Sinek, optimist and author of Start with Why and Leaders Eat Last",http://books.google.com/books/content?id=d6tV0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mayor of Casterbridge,Thomas Hardy,,,,"The Mayor of Casterbridge The Life and Death of a Man of Character by Thomas Hardy The Mayor of Casterbridge (1886), subtitled ""The Life and Death of a Man of Character"", is a novel by British author Thomas Hardy. It is set in the fictional town of Casterbridge (based on the town of Dorchester in Dorset). The book is one of Hardy's Wessex novels, all set in a fictional rural England. At a country fair near Casterbridge, Wessex, a young hay-trusser named Michael Henchard overindulges in rum-laced furmity and quarrels with his wife, Susan. He decides to auction off his wife and baby daughter, Elizabeth-Jane, to a sailor, Mr. Newson, for five guineas. Once sober the next day, he is too late to recover his family. When he realises that his wife and daughter are gone, probably for good, he swears not to touch liquor again for as many years as he has lived so far. Eighteen years later, Henchard, now a successful grain merchant, is the eponymous Mayor of Casterbridge, known for his staunch sobriety. All these years, Henchard has kept the details surrounding the ""loss"" of his wife a secret. The people in Casterbridge believe he is a widower, although he never explicitly says that his first wife died. He lies by omission instead, allowing other people to believe something false. Over time he finds it convenient to believe Susan probably is dead. While travelling to the island of Jersey on business, Henchard falls in love with a young woman named Lucette Le Sueur, who nurses him back to health after an illness. The book implies that Lucette (Lucetta, in English) and Henchard have a sexual relationship, and Lucetta's reputation is ruined by her association with Henchard. The latter returns to Casterbridge, leaving Lucetta to face the social consequences of their fling. To rejoin polite society Lucetta would have to marry him, but there is an obvious problem: Henchard is already technically married. Although Henchard never told Lucetta exactly how he ""lost"" his wife to begin with, he does tell her he has a wife who ""is dead probably dead, but who may return"". Besotted, Lucetta develops a relationship with him despite the risk. Yet just as Henchard is about to send for Lucetta, Susan unexpectedly appears in Casterbridge with her daughter, Elizabeth-Jane, who is now fully grown. The pair are very poor. Newson appears to have been lost at sea, and without means to earn an income Susan is looking to Henchard again. Susan, who is not a very intelligent or sophisticated woman, believed for a long time that her ""marriage"" to Newson was perfectly legitimate. Only recently, just before Newson's disappearance, had Susan begun to question whether or not she was still legally married to Henchard.",http://books.google.com/books/content?id=CKV_jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Essential Chomsky,"Noam Chomsky, Joshua Daniel",Language Arts & Disciplines,,,"In a single volume, the seminal writings of the world's leading philosopher, linguist, and critic, published to coincide with his eightieth birthday. For the past forty years Noam Chomsky's writings on politics and language have established him as a preeminent public intellectual and as one of the most original and wide-ranging political and social critics of our time. Among the seminal figures in linguistic theory over the past century, since the 1960s Chomsky has also secured a place as perhaps the leading dissident voice in the United States. Chomsky's many bestselling works--including ""Manufacturing Consent, Hegemony or Survival, Understanding Power,"" and ""Failed States""--have served as essential touchstones for dissidents, activists, scholars, and concerned citizens on subjects ranging from the media to human rights to intellectual freedom. In particular, Chomsky's scathing critiques of the U.S. wars in Vietnam, Central America, and the Middle East have furnished a widely accepted intellectual inspiration for antiwar movements over nearly four decades. The Essential Chomsky assembles the core of his most important writings, including excerpts from his most influential texts over the past forty years. Here is an unprecedented, comprehensive overview of Chomsky's thought.",http://books.google.com/books/content?id=5yZyacYAivUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Curious Case of Benjamin Button Illustrated,F Scott Fitzgerald,,,,"""The Curious Case of Benjamin Button"" is a short story written by F. Scott Fitzgerald. First published in Collier's Magazine on May 27, 1922. It was subsequently anthologized in his book Tales of the Jazz Age, which is occasionally published as The Curious Case of Benjamin Button and Other Jazz Age Stories.[1] It also was later adapted into the 2008 namesake film and in 2019 into a stage musical.",http://books.google.com/books/content?id=sZkNzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Dark Flower,"John Galsworthy, Amazon.com (Firm)",England,,,"The keen insight and multidimensional characters that enliven the works of English novelist John Galsworthy, such as The Forsyte Saga, are also brought to bear in The Dark Flower. This emotionally gripping tale focuses on the intertwined fates of four women, each of whom is facing a critical juncture in her life.",
Anatomy of the Arteries of the Human Body,John Hatch Power,Medical,,,"Excerpt from Anatomy of the Arteries of the Human Body: Descriptive and Surgical, With the Descriptive Anatomy of the Heart For the purpose of effecting these desirable objects, I have endeavored to simplify as much as possible the anatomical details, and to bring to gether such material facts in relation to the ope rations upon the principal arteries of the body, as may lead to correct conclusions relative to the treat ment of the various accidents and diseases to Which these vessels are exposed. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",http://books.google.com/books/content?id=ZLmEswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Report of the Auditor-General on the Financial Statements of Vote ...,South Africa. Office of the Auditor-General,,,,,
The National-Bank Act and Other Laws Relating to National Banks From the Revised Statutes of the United States With Amendments and Additional Acts,"United States, United States Office of the Comptroller",,,,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=2DgczwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Brother the Duck,Pat Zietlow Miller,Juvenile Fiction,,,"A new sibling book with humor, heart, and a dash of the scientific process sure to delight young readers. Is Stella's new baby brother a duck? All the evidence seems to be pointing in that direction, but Stella knows that scientists can't just wing it. Further research is definitely required. This sweet and silly book is just ducky for new siblings, fledgling scientists and anyone who loves a good laugh. • Read-aloud books for children and siblings • Pat Zietlow Miller has published numerous children's books, including the critically acclaimed Be Kind. For new siblings who enjoyed The New Small Person, Little Miss Big Sis, and Julius Baby of the World will love the sweet and silly humor of My Brother the Duck. • Children's books for ages 3–5 • New siblings, big sister books • STEM principles Pat Zietlow Miller is the is the award-winning picture book author of Be Kind, Sophie's Squash, Sharing the Bread, The Quickest Kid in Clarksville, and Wherever You Go, among others. Daniel Wiseman is a growing presence in children's books, having illustrated a dozen books in the past three years.",http://books.google.com/books/content?id=dZK3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Glory of the Trenches,Coningsby Dawson,,,,"I am in hospital in London, lying between clean white sheets and feeling, for the first time in months, clean all over. At the end of the ward there is a swinging door; if I listen intently in the intervals when the gramophone isn't playing, I can hear the sound of bath-water running-running in a reckless kind of fashion as if it didn't care how much was wasted. To me, so recently out of the fighting and so short a time in Blighty, it seems the finest music in the world. For the sheer luxury of the contrast I close my eyes against the July sunlight and imagine myself back in one of those narrow dug-outs where it isn't the thing to undress because the row may start at any minute. Out there in France we used to tell one another fairy-tales of how we would spend the first year of life when war was ended. One man had a baby whom he'd never seen; another a girl whom he was anxious to marry. My dream was more prosaic, but no less ecstatic-it began and ended with a large white bed and a large white bath. For the first three hundred and sixty-five mornings after peace had been declared I was to be wakened by the sound of my bath being filled; water was to be so plentiful that I could tumble off to sleep again without even troubling to turn off the tap. In France one has to go dirty so often that the dream of being always clean seems as unrealisable as romance. Our drinking-water is frequently brought up to us at the risk of men's lives, carried through the mud in petrol-cans strapped on to packhorses. To use it carelessly would be like washing in men's blood-- And here, most marvellously, with my dream come true, I lie in the whitest of white beds. The sunlight filters through trees outside the window and weaves patterns on the floor. Most wonderful of all is the sound of the water so luxuriously running. Some one hops out of bed and re-starts the gramophone. The music of the bath-room tap is lost. - Taken from ""The Trenches of Glory"" written by Coningsby Dawson",http://books.google.com/books/content?id=iJkGzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Subversive Stitch,Rozsika Parker,Crafts & Hobbies,,,"Rozsika Parker's re-evaluation of the reciprocal relationship between women and embroidery has brought stitchery out from the private world of female domesticity into the fine arts, created a major breakthrough in art history and criticism, and fostered the emergence of today's dynamic and expanding crafts movements. The Subversive Stitch is now available again with a new Introduction that brings the book up to date with exploration of the stitched art of Louise Bourgeois and Tracey Emin, as well as the work of new young female and male embroiderers. Rozsika Parker uses household accounts, women's magazines, letters, novels and the works of art themselves to trace through history how the separation of the craft of embroidery from the fine arts came to be a major force in the marginalisation of women's work. Beautifully illustrated, her book also discusses the contradictory nature of women's experience of embroidery: how it has inculcated female subservience while providing an immensely pleasurable source of creativity, forging links between women.",http://books.google.com/books/content?id=gHInxAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
