Title,Authors,Genre,Price,Rating,Description,Image
Life Histories,"Martin Thiel, Gary A. Wellborn",Science,153.52 EUR,,"Crustaceans are increasingly being used as model organisms in all fields of biology, including neurobiology, developmental biology, animal physiology, evolutionary ecology, biogeography, and resource management. Crustaceans have a very wide range of phenotypes and inhabit a diverse array of environments, ranging from the deep sea to high mountain lakes and even deserts. The evolution of their life histories has permitted crustaceans to successfully colonize this variety of habitats. Few other taxa exhibit such a variety of life histories and behavior. A comprehensive overview of their life histories is essential to the understanding of many aspects of their success in marine and terrestrial environments. This volume provides a general overview of crustacean life histories. Crustaceans have particular life history adaptations that have permitted them to conquer all environments on earth. Crustacean life cycles have evolved to maximize fecundity, growth, and ageing, in a wide range of environmental conditions. Individual contributions contrast benefits and costs of different life histories including sexual versus asexual production, semelparity versus iteroparity, and planktonic larvae versus direct development. Important aspects of particular behaviors are presented (e.g. migrations, defense and territorial behaviors, anti-predator behavior, symbiosis).",http://books.google.com/books/content?id=NxRbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Simply Feel Good,Dr Samuel C Foster,,,,"What I'm Going to Tell You in This Book Will Change Your Life You're going to find the last piece of the puzzle that will unlock your success, fulfilment, and pleasure. I was lost a few years ago. Frustrated, Scared, Unsure, Anxious, Trapped, Unfulfilled. In a job that is a dead end, expectations of society suffocate me. I lacked a clear idea of what I wanted to accomplish with my life. I had the self-respect to want to make changes in my life, but I had no idea where to begin. I spent my days hoping for a change in the status quo so I could leave the existence my spirit could no longer support. The hardest thing was that I was following the example society has always set for me. It's simpler than you ever could have thought a secret you've known all your life but kept hidden from view. And once you realize what it is and start utilizing it, nothing in your life will ever be the same. It's time to stop waiting. The happiness you've always desired may now be yours at last. It's time to provide you with a strategy for your success. Now is the moment for you to SIMPLY FEEL GOOD. INCLUDED - Are effective, easy ways to summon positive feelings whenever you want them. - A guided example of how to instantly feel better with the right attention so that you may feel wonderful anytime you desire - The author's daily routine for enhancing pleasure and success while feeling wonderful (he follows this without fail, and it is always simple to fit into his hectic schedule). - An approachable strategy for getting out of your own way once and for all, attracting the life you've always desired, and substituting unproductive negative emotions with healthier, more productive ones",http://books.google.com/books/content?id=tpkO0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Woman in Prison,Kiriro wa Ngugi,,,,,
Biodeconstruction,Francesco Vitale,Philosophy,31.74 EUR,,"In Biodeconstruction, Francesco Vitale demonstrates the key role that the question of life plays in Jacques Derrida's work. In the seminar La vie la mort (1975), Derrida engages closely with the life sciences, especially biology and evolution theory. Connecting this line of thought to his analysis of cybernetics in Of Grammatology, Vitale shows how Derrida develops a notion of biological life as itself a sort of text that is necessarily open onto further articulations and grafts. This sets the stage for the deconstruction of the traditional opposition between life and death, conceiving of death as an internal condition of the constitution of the living rather than being the opposite of life. It also provides the basis for the deconstruction of the rigidly deterministic concept of the genetic program, an insight that anticipates recent achievements of biological research in epigenetics and sexual reproduction. Finally, Vitale argues that this framework can enrich our understanding of Derrida's late work devoted to political issues, connecting his use of the autoimmunitarian lexicon to the theory of cellular suicide in biology.",http://books.google.com/books/content?id=sDJNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Life and Death in Shanghai,Nien Cheng,,,,"This is a first-hand account of China's cultural revolution. Nien Cheng, an anglophile and fluent English-speaker who worked for Shell in Shanghai under Mao, was put under house arrest by Red Guards in 1966 and subsequently jailed. All attempts to make her confess to the charges of being a British spy failed; all efforts to indoctrinate her were met by a steadfast and fearless refusal to accept the terms offered by her interrogators. When she was released from prison she was told that her daughter had committed suicide. In fact Meiping had been beaten to death by Maoist revolutionaries.",
Dalai Lama,Mayank Chhaya,Buddhism,,4,"The current and 14th Dalai Lama, Tenzin Gyatso, inspires perennial fascination. Longstanding exile, religious leader,accomplished writer and skilful diplomat, his many guises seem only to add to his mystique. Who is the real Dalai Lama,and what are the true motivations which drive this simultaneously personable and deeply enigmatic man, considered by his followers to be the living embodiment of the Bodhisattva of Compassion? In a revealing, richly anecdotal, and thoroughly researched biography, Mayank Chhaya strips away the multiple layers of the Dalai Lama's personality to getto the man behind the public face. Adding depth and nuance to his portrait, which is based on many personal interviews,the author depicts the Dalai Lama in the light of his banishment and forced flight from his homeland, uncovering the various contexts which have shaped his subject's beliefs, politics and ideals. Shedding fresh light on the complexities of the relationship between China and Tibet, Chhaya also discusses the growing frustrations of young Tibetans with thenonviolent approach to Chinese occupation advocated by the Dalai Lama. The result is a compelling profile of aremarkable spiritual leader and an engaging picture of how the current unrest in his country will determine its long-termfuture.",http://books.google.com/books/content?id=_hpHPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Life Cycle of a Rabbit,Kirsty Holmes,Juvenile Nonfiction,,,"Rabbits are adorable animals, but how do they grow from baby bunnies to the adults seen hopping around our backyards and parks? Readers find the answer through this age-appropriate guide to a rabbit’s life cycle. Using simple and accessible terminology, elementary readers are introduced to the life cycle stages every rabbit goes through, helping them gain a stronger understanding of essential life science concepts. As they read, full-color photographs and diagrams provide visual references, and fact boxes present additional information about these familiar creatures and the amazing ways they grow and change throughout their lives.",http://books.google.com/books/content?id=UoNeEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
John Stuart Mill and the Art of Life,"Ben Eggleston, Dale Miller, David Weinstein",Philosophy,,,"The 'Art of Life' is John Stuart Mill's name for his account of practical reason. In this volume, eleven leading scholars elucidate this fundamental, but widely neglected, element of Mill's thought. Mill divides the Art of Life into three 'departments': 'Morality, Prudence or Policy, and Æsthetics'. In the volume's first section, Rex Martin, David Weinstein, Ben Eggleston, and Dale E. Miller investigate the relation between the departments of morality and prudence. Their papers ask whether Mill is a rule utilitarian and, if so, whether his practical philosophy must be incoherent. The second section contains papers by Jonathan Riley and Wendy Donner, who explore the relation between the departments of morality and aesthetics. They discuss issues ranging from supererogation to aesthetic pleasure and humanity's relationship with nature. The papers in the third section consider the Art of Life's axiological first principle, the principle of utility. Elijah Millgram contends that Mill's own life refutes his claim that the Art of Life has a single axiological first principle. Philip Kitcher maintains that Mill has a dynamic axiology requiring us to continually refine our conception of the good. In the final section, three papers address what it means to put the Art of Life into practice. Robert Haraldsson locates an 'Art of Ethics' in On Liberty that is in tension with the Art of Life. Nadia Urbinati plumbs the classical roots of Mill's view of the good life. Finally, Colin Heydt develops Mill's suggestion that we regard our own lives as works of art.",http://books.google.com/books/content?id=7kBc3MLx0VEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Microbial Life History,Steven A. Frank,Science,51.36 EUR,,"A powerful framework for understanding how natural selection shapes adaptation and biological design Design and diversity are the two great challenges in the study of life. Microbial Life History draws on the latest advances in microbiology to describe the fundamental forces of biological design and apply these evolutionary processes to a broad diversity of traits in microbial metabolism and biochemistry. Emphasizing how to formulate and test hypotheses of adaptation, Steven Frank provides a new foundation for exploring the evolutionary forces of design. He discusses the economic principles of marginal valuations, trade-offs, and payoffs in risky and random environments; the social aspects of conflict and cooperation; the demographic aspects of age and spatial heterogeneity; and the engineering control theory principles by which systems adjust to environments. Frank then applies these evolutionary principles to the biochemistry of microbial metabolism, providing the first comprehensive link between the forces that shape biological design and cellular energetics. Tracing how natural selection sculpts metabolism, Microbial Life History provides new perspectives on the life histories of organisms, from growth rate and survival to dispersal and defense against attack. Along the way, this incisive book addresses the conceptual and philosophical challenges confronting evolutionary biologists and other practitioners who study biological design and seek to apply its lessons.",http://books.google.com/books/content?id=ieZfEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Years of Healthy Life,Pennifer Erickson,Longevity,,,,http://books.google.com/books/content?id=Q-7tzynnx3sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Life Lines Poems (Classic Reprint),Ellis Reynolds Shipp,Poetry,,,"Excerpt from Life Lines Poems The ills of life are touched with delicate skill, and a gentle hand, that seeks to ameliorate and lessen sorrow, and excess of grief; wonderful indeed is the magic influence of words into which one's soul has been brought with the form of a ready writer. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",http://books.google.com/books/content?id=RDvYswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ten Thousand Things,"Judith Farquhar, Qicheng Zhang",History,,,"Examines the myriad ways contemporary residents of Beijing understand and nurture the good life, practice the embodied arts of everyday well-being, and in doing so draw on cultural resources ranging from ancient metaphysics to modern media.",http://books.google.com/books/content?id=qSBhsiqlztQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Life to Come,E. M. Forster,Electronic books,,,"Featuring fourteen short stories, most previously unpublished, The Life to Come spans six decades of E.M. Forsters writing, from approximately 1903 to 1958, and shows Forster at every phase of his writing career. Forster, feeling his career would suffer, never sought publication for most of the stories, hiding these away along with Maurice, his novel of homosexual love. With stories that are lively and amusing (What Does It Matter; The Obelisk), as well as more somber and deft portrayals of love, truth, and society (Dr Woolacott; Arthur Snatchfold), The Life to Come sheds a light on Forsters powerful but suppressed explorations beyond the strictures of conventional society.",
A Fortunate Universe,"Geraint F. Lewis, Luke A. Barnes",Science,,,An engaging defence and critique of the various arguments from both science and religion on the fine-tuning of the Universe.,http://books.google.com/books/content?id=_Nb4DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Tale of the Ravishing Villainess's Royal Second Chance at Life　Chapter 9,Makoto Ayase,Comics & Graphic Novels,1.81 EUR,,"The villainess who almost destroyed her kingdom found herself looped back to five years before her death. She is a fourteen-year old girl, loved by her father, the King, and her two brothers. Sophia remembers everything that she had done, to her maids, to her knights, to her family. Bryath, her bodyguard, was loyal to her until he dies at war that she and her brother Riley started. She decides to save everyone including her, in this life. Everyone was aghast when Sophia told them she'll start studying for the kingdom. She is determined to be a real princess for people, not villainess, in this life. Now she must uncover all conspiracies to avoid the tragedy. But something is off about Bryath...he is too protective in this life!?",http://books.google.com/books/content?id=qAUfEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Life Sciences,,,,,,http://books.google.com/books/content?id=tCFmq79MmMwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Suffering and the Christian Life,Rachel Davies,Religion,36.44 EUR,,"This volume approaches questions concerning the status and meaning of suffering in Christian life and Christian theology through the lens of a variety of theological disciplines – biblical, historical, practical, political and systematic theology. Scholars from this range of fields concentrate on a number of questions: Is love intrinsically linked with suffering? Are suffering and loss on some level fundamentally good? How is – and how should – suffering and diminishment be viewed in the Christian tradition? Featuring leading voices that include Linn Tonstad, Bernard McGinn, Anna Rowlands, John Swinton and Paul Murray, this volume brings together essays touching on concrete issues such as cancer, mental health, and the experience of refugees, and discusses broad themes including vulnerability, kenosis and tragedy. In correlating these themes with the examination of texts ranging from Paul's letters to works of the Cappadocians, Thomas Aquinas, John of the Cross and Mother Teresa, Suffering and the Christian Life offers fresh and accessible academic approaches to a question of vital personal, existential significance.",http://books.google.com/books/content?id=fR20DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Hurdles,Dennis St. Rose,Biography & Autobiography,4.27 EUR,,"Life is like a journey into uncharted waters where mankind is constantly attempting to navigate the ship of life through the seas of uncertainty. On this voyage, we are not sure if the worldliness we experience in the continuum between birth and death is real or if it is a figment of our imagination. If it is indeed the latter, the question then becomes how or when this phenomenon of our existence will ever be revealed. If the answer to this question is never, we are then thrown into a state of perpetual confusion at the core of which lies the questions Who are we? and Why are we here? I write this book not because I have the answers to any of these questions but because I believe that by chronicling my experiences, my children, family members, friends, and others who may read it will become more introspective in the living of their lives. No person can write their complete autobiography in advance, but I have tried to select events that, at this point in time, I consider to have had the greatest impact on my life. Many aspects of my life may have not been discussed and others too briefly, but if there is any similarity between my life experiences and those of others, then I hope that they can draw on my lifes story when navigating their respective journeys.",http://books.google.com/books/content?id=lyfQDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Life Application Study Bible-NIV,"Tyndale, Tyndale House Publishers Staff",,,,"The Life Application Study Bible is today's #1-selling study Bible. The notes begin with helping the reader understand God's Word, then shows how to apply what God is teaching to everyday life. This Bible includes nearly 10,000 Life Application notes and features designed to help God's timeless truth become a personal truth for every reader. Discover How You Can Apply the Bible to Your Life Today Features: Nearly 10,000 Life Application(R) notes and features Over 100 Life Application(R) profiles of key Bible people Introductions and overviews for each book of the Bible More than 400 maps & charts placed for quick reference Dictionary/concordance Extensive side-column cross-reference system to facilitate deeper study Life Application(R) index to notes, charts, maps, and profiles 16 pages of full-color maps Presentation page Single-column format Christian Worker's Resource, a special supplement to enhance the reader's ministry effectiveness Full text of the accurate, readable, and clear New International Version (NIV) Words of Jesus are in red letter",http://books.google.com/books/content?id=_GSkoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Quality of Work Life Assessment : a Survey-based Approach,"Bowditch, James L, Anthony F. Buono",Employee attitude surveys,,,,
The Deeper Christian Life an Aid to Its Attainment,Andrew Murray,,,,"The first and chief need of our Christian life is, Fellowship with God. The Divine life within us comes from God, and is entirely dependent upon Him. Christ is a living Person, he loves you with a personal love. If we are to experience a deepening of spiritual life, we want to discover clearly what is the spiritual life that God would have us live, on the one hand; and, on the other, to ask whether we are living that life; or, if not, what hinders us living it out fully.",http://books.google.com/books/content?id=DsqFvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Scenes of Clerical Life, Vol. I",Mary Anne Evans,Fiction,,,"In 'Scenes of Clerical Life, Vol. I,' Mary Anne Evans, under the famed pseudonym George Eliot, weaves a delicate tapestry of provincial life in 19th-century England. Had it not been explicitly mentioned, one might scarce believe that the vibrant spectrum of clerical figures populating these tales springs from a single pen, such is the diversity of their temperaments and foibles. Enriched by a deft blend of humor and pathos, Evans employs a pioneering realism, which situates her literary endeavor within the larger context of Victorian fiction. By overriding the era's penchant for the romantic and the sensational, Evans infuses her narratives with a nuanced exploration of the moral and social issues confronting ordinary individuals within their community, crafting a work of enduring significance and subtlety. As a woman of remarkable intellect and insight, Mary Anne Evans adopted a male pen name to ensure her works were taken seriously in a time when female authors were often relegated to writing lightweight romances. Her profound understanding of human nature is evident in the complex characters and intricate relationships that form the crux of this book. This understanding, coupled with experiences derived from her own life in rural England and her voracious appetite for scholarly pursuits, renders 'Scenes of Clerical Life' an authentic and poignant study of the human condition. 'Scenes of Clerical Life, Vol. I' is recommended for readers who relish in the exploration of the social mores and the quiet, yet resounding dramas that unfold in the seemingly mundane. It is a testament to Evans's literary genius and to her pioneering role in shaping the novel as a mirror to life's intricate realities. This volume, replete with Evan's rich prose and keen psychological insights, is a brilliant starting point for those embarking on the journey through her oeuvre.",http://books.google.com/books/content?id=en1_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Life Elsewhere,Segun Afolabi,African diaspora,,,"Winner of the 2005 Caine Prize for African Writing, this collection of stories reflect the way we live; exploring the universal need to establish family and identity in a world where the boundaries of geography, culture and language are fluid. These are tales of Diaspora, of people making their lives in new lands.",http://books.google.com/books/content?id=XeV6QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Life in Pieces,Carol Starr Taylor,,,,"Have you ever felt as though you were moving through life on auto-pilot? STUCK. Carol did many times throughout her life until one day, through the chaos, she found clarity realizing she is and always was just PERFECTLY IMPERFECT. Carol shares the valuable learnings, the love she has found within herself and the courageous life she leads today.",http://books.google.com/books/content?id=VRl_tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Religion and the Implications of Radical Life Extension,"C. Mercer, D. Maher",Social Science,96.29 EUR,,"If the science of 'radical life extension' is realized and the technology becomes widely available, it would arguably have a more radical impact on humanity than any other development in history. This book is the first concerted effort to explore implications of radical life extension from the perspective of the world's major religious traditions.",http://books.google.com/books/content?id=wZO_AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Battle of Life Illustrated,Charles Dickens,,,,"The Battle of Life: A Love Story is a novella by Charles Dickens, first published in 1846. It is the fourth of his five ""Christmas Books"", coming after The Cricket on the Hearth and followed by The Haunted Man and the Ghost's Bargain.The setting is an English village that stands on the site of an historic battle. Some characters refer to the battle as a metaphor for the struggles of life, hence the title.Battle is the only one of the five Christmas Books that has no supernatural or explicitly religious elements. (One scene takes place at Christmas time, but it is not the final scene.) The story bears some resemblance to The Cricket on the Hearth in two respects: it has a non-urban setting, and it is resolved with a romantic twist. It is even less of a social novel than is Cricket. As is typical with Dickens, the ending is a happy one.It is one of Dickens's lesser-known works and has never attained any high level of popularity - a trait it shares among the Christmas Books with The Haunted Man.",
Child Life in Town and Country,Anatole France,Fiction,0.49 EUR,,"In ""Child Life in Town and Country,"" Anatole France presents a richly textured exploration of childhood experiences, both in urban and rural settings. This work, written in a style that marries lyrical prose with thoughtful observation, explores the joys and struggles faced by children navigating the complexities of their environments. France utilizes a blend of anecdotal narratives and philosophical musings, drawing upon the contrasts between the stimulating vibrancy of city life and the pastoral simplicity of the countryside, to delve into the inherent innocence and authenticity of youth. The book reflects the broader literary context of late 19th-century France, where there was a growing interest in social issues and the depiction of childhood as both a delicate and formative stage of life. Anatole France, a Nobel Laureate in Literature, was known for his profound insights into human nature and society. Having experienced both the hustle of Paris and the tranquility of rural France, his personal background deeply informed his writing. His keen observations of social dynamics and a pervasive sense of nostalgia for the innocence of youth resonate throughout this work, drawing from his own upbringing and the cultural milieu of a rapidly industrializing France. This book is a timeless portrait that holds relevance for educators, parents, and anyone interested in the sociology of childhood. France'Äôs nuanced perspectives invite readers to reflect on the duality of children's experiences while challenging assumptions about their development across different environments. ""Child Life in Town and Country"" is essential reading for those who seek to understand the interplay between innocence and the societal structures that shape young lives.",http://books.google.com/books/content?id=ne_EDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
